ID	B_cells_naive_CIBERSORT	B_cells_memory_CIBERSORT	Plasma_cells_CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_gamma_delta_CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_activated_CIBERSORT	Monocytes_CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M2_CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_activated_CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_activated_CIBERSORT	Eosinophils_CIBERSORT	Neutrophils_CIBERSORT	P-value_CIBERSORT	Correlation_CIBERSORT	RMSE_CIBERSORT
GSM2449608	0.0223575218860364	0	0.0039370418938738	0.199209155601417	0.159299335691369	0	0.0400407589209216	0	0.0300874976410323	0	0.141696695690164	0	0.108946011961445	0	0.00401831979621678	0	0.00960744241128701	0.00731001901872797	0.00445016844549081	0	0	0.269040031042018	0	0.771556155763455	0.673068657755369
GSM2449609	0.0331021022410629	0.00458361431544185	0	0.150962659910688	0.123086184372843	0	0.0652072900188877	0	0	0	0.132291919370846	0	0.224063094780751	0	0	0	0	0.000406401490068508	0.00246729214411109	0	0	0.263829441355302	0	0.807661703519017	0.643800488410444
GSM2449610	0.0374096468481222	0	0	0.189709053668164	0.104813359954855	0	0.0703562726206335	0	0.00280423306264763	0	0.177822915276251	0	0.189417781512304	0	0	0	0	0.00403420151787875	0.011149762631722	0	4.60375881954094e-06	0.212478169148603	0	0.787132330059005	0.668233619423512
GSM2449611	0.00907300717224915	0	0.00128528847592544	0.223488464371006	0.0886527119773951	0	0.0405408968503846	0	0.00971212031934506	0	0.181326586130969	0	0.184127794154394	0	0	0	0.0011492658151228	0	0.00795441048818957	0	0	0.252689454245018	0	0.811448634573504	0.634806059054518
GSM2449612	0.0179805944184808	0	0.00564602329553144	0.18966549539774	0.112938803101094	0	0.044221508196566	0	0.0384703936696198	0	0.10950446150945	0	0.123269819821519	0	0.00359601888482607	0	0.0105456609721221	0.0116852596742954	0.00714885435782049	0	0	0.325327106700934	0	0.776536286079213	0.66324835022652
GSM2449613	0.0362759465214087	0	0	0.0966605935464511	0.0936785124218812	0	0.0468312106199453	0	2.65005552637663e-05	0	0.140763612818916	0	0.152025087084334	0	0	0	0	0.000929228025467677	0.00192141192063275	0	0	0.430887896485699	0	0.859954605543002	0.551996308400022
GSM2449614	0.0393499250059092	0	0	0.146775304310307	0.160576780699037	0	0.0337081869894658	0	0.0102951961266645	0	0.0863101628621984	0	0.0782101626170193	0	0	0	0	0.00405630960471468	0.00206248968850094	0	0	0.438655482096184	0	0.828209980798478	0.590344028075332
GSM2449615	0.00549532423311081	0	0.00027153668584494	0.257790158337249	0.0813544484525438	0	0.034344811892671	0	0.0188778240505841	0	0.151070632702769	0	0.111047057225697	0	0.00238288900042825	0	0.00725275144200876	0.00217315239905929	0	0	0	0.327939413578034	0	0.83380035319867	0.601165912750384
GSM2449616	0.0269879219630634	0	0.0056677567490644	0.133439346420578	0.128448694658448	0	0.0311129216796104	0	0.0136295514896354	0	0.123100537448866	0	0.15844838385269	0	0.000227364564391177	0	0	0.00864048123542501	0.0071943361239289	0	0	0.363102703814299	0	0.80864509180466	0.624524183898177
GSM2449617	0.0231977304748319	0	0	0.194022725067758	0.0984940517826772	0	0.0424485713184835	0	0.0300609830463104	0	0.146585460904723	0	0.0987808361373702	0	0.00376895036356794	0	0.00670907053130521	0.00055762299132588	0	0.00128579453364355	0	0.354088202848003	0	0.832341029120152	0.602458731952904
GSM2449618	0.0276709780288752	0	0.00373714550553754	0.192961884620933	0.14022582227633	0	0.0116523149899374	0	0.0024823284388134	0	0.104586561520268	0	0.0916084421558199	0	0	0	0	0.00393667443384616	0.00579274686590902	0	0	0.415345101163731	0	0.824449850381569	0.597115768191615
GSM2449619	0.0254641432481673	0	0.0103983501371168	0.124188480382651	0.0812221681574336	0	0.0749031820555841	0	0	0	0.185731491225653	0	0.129302985488796	0	0.0050397057281416	0	0.00540884675618568	0.0122750718744944	0	0.00076000304133818	0	0.345305571904438	0	0.807859443928914	0.630297682827757
GSM2449620	0.0300531248471995	0	0.0083179245694695	0.0950919098438128	0.106600012575161	0	0.0455731734271356	0	0.00166166514732064	0	0.139123610381466	0	0.128149161872371	0	0	0	0	0.00256271044839867	0.00196333222061398	0	0	0.440903374667051	0	0.842188658787501	0.572333660675974
